family,model_id,model_name,total_params_b,active_params_b,primary_use,modality,variant,architecture,access,official_hf_link,direct_quant_hf_link,highest_quality_quant_under_100gb,highest_est_practical_gb,balanced_quant,balanced_est_practical_gb,fit_tier,notes,verification_status,family_source_url,common_local_formats,bf16_mem,q8_mem,q6_mem,q5_mem,q4_mem,q3_mem,q2_mem
Cohere / Aya,CohereLabs/command-a-reasoning-08-2025,command-a-reasoning-08-2025,111,,reasoning,text,reasoning,Dense,gated/license,https://huggingface.co/CohereLabs/command-a-reasoning-08-2025,https://huggingface.co/bartowski/CohereLabs_command-a-reasoning-08-2025-GGUF,Q5_K_M/5-bit,91.8,Q4_K_M/4-bit,74.2,Comfortable,Large reasoning model.,current_repo_page_2026-03-27,https://huggingface.co/CohereLabs,Transformers; community GGUF/MLX,284.8,144.4,109.3,91.8,74.2,56.7,39.1
Cohere / Aya,CohereLabs/c4ai-command-r-plus,c4ai-command-r-plus,104,,general chat / RAG,text,chat,Dense,gated/license,https://huggingface.co/CohereLabs/c4ai-command-r-plus,,Q5_K_M/5-bit,86.2,Q5_K_M/5-bit,86.2,Near limit,Large Command R+ model.,current_repo_page_2026-03-27,https://huggingface.co/CohereLabs,Transformers; community GGUF/MLX,267.1,135.6,102.7,86.2,69.8,53.3,36.9
Cohere / Aya,CohereLabs/c4ai-command-r-plus-08-2024,c4ai-command-r-plus-08-2024,104,,general chat / RAG,text,chat,Dense,gated/license,https://huggingface.co/CohereLabs/c4ai-command-r-plus-08-2024,,Q5_K_M/5-bit,86.2,Q5_K_M/5-bit,86.2,Near limit,Large Command R+ refresh.,current_repo_page_2026-03-27,https://huggingface.co/CohereLabs,Transformers; community GGUF/MLX,267.1,135.6,102.7,86.2,69.8,53.3,36.9
Cohere / Aya,CohereLabs/aya-expanse-32b,aya-expanse-32b,32,,multilingual chat,text,instruct,Dense,open,https://huggingface.co/CohereLabs/aya-expanse-32b,https://huggingface.co/bartowski/aya-expanse-32b-GGUF,BF16/FP16,85,BF16/FP16,85,Near limit,Open multilingual Aya model.,current_repo_page_2026-03-27,https://huggingface.co/CohereLabs,Transformers; community GGUF/MLX,85,44.5,34.4,29.3,24.2,19.2,14.1
Cohere / Aya,CohereLabs/aya-vision-32b,aya-vision-32b,32,,multimodal multilingual,text+vision,instruct,Dense,gated/non-commercial,https://huggingface.co/CohereLabs/aya-vision-32b,,BF16/FP16,85,BF16/FP16,85,Near limit,Vision-language Aya model.,current_repo_page_2026-03-27,https://huggingface.co/CohereLabs,Transformers; community GGUF/MLX,85,44.5,34.4,29.3,24.2,19.2,14.1
Cohere / Aya,CohereLabs/c4ai-command-r-08-2024,c4ai-command-r-08-2024,32,,general chat / RAG,text,chat,Dense,gated/license,https://huggingface.co/CohereLabs/c4ai-command-r-08-2024,https://huggingface.co/bartowski/c4ai-command-r-08-2024-GGUF,BF16/FP16,85,BF16/FP16,85,Near limit,32B Command R refresh.,current_repo_page_2026-03-27,https://huggingface.co/CohereLabs,Transformers; community GGUF/MLX,85,44.5,34.4,29.3,24.2,19.2,14.1
DeepSeek,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-70B,70,,reasoning,text,distill,Dense,open,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,,FP8/Q8_0/INT8,92.6,Q6_K/6-bit,70.4,Comfortable,R1-distilled reasoning model.,current_repo_page_2026-03-27,https://huggingface.co/deepseek-ai,Transformers; community GGUF/AWQ,181.1,92.6,70.4,59.3,48.3,37.2,26.1
DeepSeek,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,32,,reasoning,text,distill,Dense,open,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,,BF16/FP16,85,BF16/FP16,85,Near limit,R1-distilled reasoning model.,current_repo_page_2026-03-27,https://huggingface.co/deepseek-ai,Transformers; community GGUF/AWQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Google Gemma,google/datagemma-rag-27b-it,datagemma-rag-27b-it,27,,RAG / grounded QA,text,instruct,Dense,gated,https://huggingface.co/google/datagemma-rag-27b-it,,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,DataGemma RAG checkpoint.,current_family_page_2026-03-27,https://huggingface.co/google,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
Google Gemma,google/datagemma-rig-27b-it,datagemma-rig-27b-it,27,,grounded QA / RIG,text,instruct,Dense,gated,https://huggingface.co/google/datagemma-rig-27b-it,,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,DataGemma RIG checkpoint.,current_family_page_2026-03-27,https://huggingface.co/google,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
